Site,date_adjusted,order,CI,BA,year,month,t,t_mod,fi,hix,mhix,bix,a254,a300,E2_E3,S275_295,S350_400,SR,NO2.NO3,NH4,TOC_conc2,DOC,DIC,pH,cond,alk,Ca,K,Mg,Na,SO4,Cl,SiO2,Al,Fe,Mn,Zn,Cd,Cu,Ni,TOC_conc,TN_conc,TOC_conc3
C1,2020-08-01,6,C,B,2020,8,301,-63,1.22785262,17.43840145,0.9457653635,0.4305871908,49.12012496,27.55181654,5.73221748,0.01388776019,0.02143381442,0.6479369431,0.291,0.011,5.775825523,6.308,3.851,7.046450138,43.40000153,0.2821035683,5.260656,0.485851,0.974457,1.109724,3.747409041,0.1090203576,8.81,0.073752,0.068656,0.013882,0.00233,0.000016,0.001575,0.000616,480.89,37.18,5.775825523
H2,2020-08-01,6,H,B,2020,8,301,-63,1.287009038,7.364916889,0.880453086,0.534036015,5.440196835,2.852715035,22.02827572,0.0163777301,0.4275139299,0.03830923147,0.914,0.003,1.165878649,1.024,2.615,7.136129379,67.30000305,0.520250082,8.197441,0.532331,1.717041,2.215322,3.606637296,0.1361883865,16.05,0.050307,0.017909,0.004903,0.002462,0.000015,0.001298,0.000263,97.07,59.06,1.165878649
C2,2020-08-01,6,C,B,2020,8,301,-63,1.191820589,14.99567578,0.9374831039,0.4145792716,49.91331636,28.02213792,5.584389002,0.01396980653,0.02043545393,0.6836063722,0.263,0.023,6.090746077,6.153,3.108,6.780097485,34,0.243044883,4.286313,0.74434,0.642554,1.119336,2.031006376,0.1705347167,8.27,0.173797,0.113304,0.012835,0.003823,0.000032,0.001602,0.00045,507.11,38.78,6.090746077
H1,2020-08-01,6,H,B,2020,8,301,-63,1.538398802,3.359570429,0.770619602,0.5931186051,3.345225871,1.819552787,7.793805709,0.01313704721,0.02416232791,0.5436995665,0.716,0.01,0.822492736,1.032,3.543,6.756761074,40.09999847,0.2648382783,4.829837,0.364634,0.920173,1.345414,2.783643382,0.1232469241,10.58,0.021888,0.009294,0.003662,0.003475,0.000017,0.001231,0.000228,68.48,51.56,0.822492736
C2,2020-09-08,7,C,B,2020,9,339,-25,1.327664075,15.96224481,0.941045539,0.4684412167,29.91411989,15.57746801,7.514070387,0.01549166106,0.02702103679,0.5733185289,0.049,0.002,4.587967293,4.143,1.988,6.745296478,29.10000038,0.1626369357,3.928264,0.191147,0.541357,0.893495,3.794874232,0.07844275773,8.38,0.096958,0.015578,0.002952,0.013817,0.000013,0.00199,0.00032,381.99,16.64,4.587967293
H1,2020-09-09,7,H,B,2020,9,340,-24,1.751944624,4.379406116,0.8141058737,0.5819713567,2.718224268,1.284281572,,0.02176080286,0.01,2.176080286,0.637,0.002,1.312529296,0.879,3.443,6.801229,40.70000076,0.2843365669,4.819566,0.323108,0.928465,1.342828,2.576371433,0.1218067534,10.58,0.016306,0.009887,0.002637,0.008484,0.000014,0.002008,0.000447,109.28,49.7,1.312529296
H2,2020-09-09,7,H,B,2020,9,340,-24,1.288330178,6.030632591,0.8577652882,0.4690354286,9.179692504,5.436810732,6.560087985,0.01295799248,0.0270752771,0.4785913154,0.706,0.006,1.475274281,1.224,6.09,7.056812286,66.30000305,0.5129995942,8.138058,0.584606,1.722767,2.224426,3.389321305,0.138441049,14.32,0.020316,0.014883,0.001293,0.002038,0.000017,0.000894,0.000282,122.83,52.8,1.475274281
C1,2020-09-11,7,C,B,2020,9,342,-22,1.184200142,19.1593179,0.950395147,0.4286296486,59.72009713,33.79382644,5.368702784,0.01366808585,0.01948492057,0.7014699288,0.136,0.005,6.844417502,7.056,2.976,6.942329884,36,0.2864593267,4.81486,0.389835,0.892804,0.950722,1.696787201,0.08045133762,8.48,0.09117276886,0.073363,0.012145,0.002904,0.000022,0.000962,0.000138,569.86,28.17,6.844417502
H1,2020-10-03,8,H,B,2020,10,364,0,1.563925474,3.528909001,0.77919627,0.6598075681,15.99292969,9.931765874,4.280205476,0.01136904037,0.01870149414,0.6079214999,0.516,0.008,1.41005618,1.231,3.724,6.796666145,39.29999924,0.2987403572,4.803955,0.407799,0.862257,1.241716,2.294858884,0.103088849,10.07,0.028928551,0.01762,0.00392,0.001708,0.000013,0.000573,0,117.4,37.63,1.41005618
H2,2020-10-04,8,H,A,2020,10,365,0,1.340676591,7.716605798,0.8852764455,0.5635498502,8.906507749,5.35863375,5.231939421,0.01254267304,0.02002419833,0.6263757895,0.571,0.001,1.439602502,1.33,5.548,7.031866074,57.90000153,0.447270155,7.136636,0.476631,1.404815,1.890979,3.157462069,0.1094257686,13.97,0.022127875,0.006268,0.002734,0.001905,0.000011,0.000431,0,119.86,41.69,1.439602502
